Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000296406	MAG	1761077	224	10040	31.57	79.09	1.87	0.00	0.00	0.00	15	CAJXAS01	MGYG000297437	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__	ERS7418478	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002974/MGYG000297437/genomes1/MGYG000296406.gff.gz
MGYG000296407	MAG	3522243	114	45346	53.29	94.39	1.02	95.80	0.00	5.78	18	CAJWCK01	MGYG000296407	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__SW10 sp002729295	ERS7418273	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296407/genomes1/MGYG000296407.gff.gz
MGYG000296408	MAG	2471762	723	3452	62.52	60.3	1.72	0.00	0.00	0.00	9	CAJXBF01	MGYG000296408	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Salinicola;s__Salinicola salarius_A	ERS7418185	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296408/genomes1/MGYG000296408.gff.gz
MGYG000296409	MAG	1045213	49	32953	33.55	74.29	0.94	0.00	0.00	0.00	15	CAJWPJ01	MGYG000296409	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__CACLCV01;s__	ERS7419247	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296409/genomes1/MGYG000296409.gff.gz
MGYG000296410	MAG	2052980	72	43496	35.99	94.85	0.74	0.00	0.00	11.97	11	CAJWZS01	MGYG000296410	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp002457295	ERS7419572	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296410/genomes1/MGYG000296410.gff.gz
MGYG000296411	MAG	532385	63	15569	35.36	51.72	0.0	0.00	27.85	0.00	9	CAJWAB01	MGYG000296411	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__AG-339-G14;g__CACNYO01;s__CACNYO01 sp902596665	ERS7418899	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296411/genomes1/MGYG000296411.gff.gz
MGYG000296412	MAG	2480842	141	22645	45.69	87.07	2.15	0.00	0.00	0.00	16	CAJXEC01	MGYG000296412	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__MPNO01;f__UBA2964;g__GCA-2709075;s__	ERS7419079	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296412/genomes1/MGYG000296412.gff.gz
MGYG000296413	MAG	2750564	39	121040	57.34	97.73	0.57	0.00	0.00	27.93	20	CAJWPY01	MGYG000296413	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1668;s__UBA1668 sp002364555	ERS7419383	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296413/genomes1/MGYG000296413.gff.gz
MGYG000296414	MAG	2565830	113	34075	46.13	95.45	1.36	94.96	23.22	33.37	19	CAJXGO01	MGYG000296414	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__JdFR-85;g__BMS3Bbin07;s__BMS3Bbin07 sp003232715	ERS7419508	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296414/genomes1/MGYG000296414.gff.gz
MGYG000296415	MAG	1153841	101	22661	30.02	74.94	3.93	0.00	21.79	11.18	18	CAJWJQ01	MGYG000296415	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2718845;s__GCA-2718845 sp002718845	ERS7418855	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296415/genomes1/MGYG000296415.gff.gz
MGYG000296416	MAG	4577359	553	10434	61.47	90.16	1.94	94.96	23.22	19.52	14	CAJXSB01	MGYG000296416	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__Desulfococcus;s__	ERS7419272	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296416/genomes1/MGYG000296416.gff.gz
MGYG000296417	MAG	3147326	111	48763	60.1	97.36	0.31	0.00	0.00	0.00	18	CAJXWJ01	MGYG000296417	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cypionkella;s__	ERS7419566	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296417/genomes1/MGYG000296417.gff.gz
MGYG000296418	MAG	1498149	57	37661	40.65	87.33	1.24	0.00	22.90	11.45	17	CAJWOF01	MGYG000296418	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA724;s__UBA724 sp002723075	ERS7419315	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296418/genomes1/MGYG000296418.gff.gz
MGYG000296419	MAG	1416209	340	4565	51.09	63.09	0.0	0.00	0.00	0.00	13	CAJXLY01	MGYG000296419	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__;s__	ERS7419238	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296419/genomes1/MGYG000296419.gff.gz
MGYG000296420	MAG	2431020	110	33941	57.71	95.71	0.0	0.00	0.00	10.94	18	CAJWWK01	MGYG000296420	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__Bin127;g__UBA9455;s__UBA9455 sp002313245	ERS7418831	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296420/genomes1/MGYG000296420.gff.gz
MGYG000296421	MAG	1713967	158	18086	35.38	68.36	0.91	63.87	20.68	0.00	17	CAJWFW01	MGYG000296421	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11657;g__UBA11657;s__UBA11657 sp002296125	ERS7419462	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296421/genomes1/MGYG000296421.gff.gz
MGYG000296422	MAG	4393646	34	183300	43.51	100	1.29	0.00	0.00	0.00	20	CAJXUY01	MGYG000296422	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__;s__	ERS7418321	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296422/genomes1/MGYG000296422.gff.gz
MGYG000296423	MAG	1606880	134	18058	57.06	74.92	0.0	0.00	0.00	0.00	17	CAJXMZ01	MGYG000296423	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__	ERS7418411	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296423/genomes1/MGYG000296423.gff.gz
MGYG000296424	MAG	2036911	54	76048	42.73	98.9	0.0	94.96	99.67	93.33	20	CAJVZV01	MGYG000296424	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__TCS55;s__TCS55 sp002471845	ERS7418663	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296424/genomes1/MGYG000296424.gff.gz
MGYG000296425	MAG	2449489	53	59779	48.23	96.24	2.28	0.00	0.00	0.00	14	CAJWKR01	MGYG000296425	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UA16;s__UA16 sp002323795	ERS7418615	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296425/genomes1/MGYG000296425.gff.gz
MGYG000296426	MAG	3533090	22	352134	49.75	98.21	0.49	0.00	51.53	0.00	17	CAJXQR01	MGYG000296426	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__50-400-T64;s__	ERS7419117	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296426/genomes1/MGYG000296426.gff.gz
MGYG000296427	MAG	2288146	129	24572	47.6	91.59	1.42	0.00	0.00	0.00	9	CAJXAY01	MGYG000296427	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp002685715	ERS7418274	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296427/genomes1/MGYG000296427.gff.gz
MGYG000296428	MAG	4917433	158	56249	45.54	96.96	0.43	0.00	52.97	99.62	18	CAJXUS01	MGYG000296428	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae;g__Kiloniella;s__	ERS7418565	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296428/genomes1/MGYG000296428.gff.gz
MGYG000296429	MAG	3476790	209	25130	58.75	95.66	1.12	0.00	0.00	0.00	19	CAJXPW01	MGYG000296429	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__Sulfitobacter litoralis	ERS7419497	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296429/genomes1/MGYG000296429.gff.gz
MGYG000296430	MAG	3715834	515	9193	62.28	89.2	1.2	0.00	0.00	0.00	19	CAJWMR01	MGYG000296430	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius mucosus	ERS7418497	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296430/genomes1/MGYG000296430.gff.gz
MGYG000296431	MAG	1272338	121	15438	30.12	92.28	2.1	0.00	0.00	0.00	14	CAJXMB01	MGYG000296431	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Nitratiruptoraceae;g__Nitratiruptor_A;s__	ERS7419085	ERP121137	Greece	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296431/genomes1/MGYG000296431.gff.gz
MGYG000296432	MAG	1155031	102	20145	36.31	53.4	0.57	0.00	0.00	0.00	14	CAJWWF01	MGYG000296432	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__SAR86;g__GCA-2707915;s__GCA-2707915 sp002707915	ERS7419236	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296432/genomes1/MGYG000296432.gff.gz
MGYG000296433	MAG	3159376	640	5574	57.5	72.57	0.99	94.96	36.14	0.00	16	CAJWBI01	MGYG000296433	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA11650;s__UBA11650 sp002401285	ERS7418286	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296433/genomes1/MGYG000296433.gff.gz
MGYG000296434	MAG	2023976	466	4768	45.78	74.97	3.69	94.96	0.00	0.00	17	CAJXHB01	MGYG000296434	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__SBBL01;f__JAADHI01;g__JAADHI01;s__	ERS7418991	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296434/genomes1/MGYG000296434.gff.gz
MGYG000296435	MAG	4890764	87	86544	44.4	98.99	0.34	93.28	59.82	7.42	18	CAJXSP01	MGYG000296435	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Paraglaciecola;s__Paraglaciecola mesophila	ERS7419619	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296435/genomes1/MGYG000296435.gff.gz
MGYG000296436	MAG	4180907	194	36824	36.2	96.79	0.2	0.00	0.00	0.00	15	CAJXAW01	MGYG000296436	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zunongwangia;s__Zunongwangia profunda	ERS7418350	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296436/genomes1/MGYG000296436.gff.gz
MGYG000296437	MAG	2280888	230	12740	60.54	94.32	0.17	0.00	0.00	0.00	20	CAJWBD01	MGYG000296437	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA12567;s__UBA12567 sp003520025	ERS7419145	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296437/genomes1/MGYG000296437.gff.gz
MGYG000296438	MAG	3051234	378	10469	66.14	70.33	0.0	0.00	0.00	0.00	14	CAJWQN01	MGYG000296438	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7887;f__UBA7887;g__;s__	ERS7418194	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296438/genomes1/MGYG000296438.gff.gz
MGYG000296439	MAG	3726960	806	5160	40.15	69.17	1.82	0.00	21.66	11.32	9	CAJXVO01	MGYG000296439	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Arenibacter;s__Arenibacter algicola	ERS7418625	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296439/genomes1/MGYG000296439.gff.gz
MGYG000296440	MAG	4593096	53	154425	49.92	93.19	0.0	94.12	52.45	13.03	20	CAJWIH01	MGYG000296440	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptonemataceae;g__UBA3465;s__UBA3465 sp002729885	ERS7419538	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296440/genomes1/MGYG000296440.gff.gz
MGYG000296441	MAG	4052215	165	40944	41.88	97.31	1.08	63.87	99.67	99.76	19	CAJVWU01	MGYG000296441	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__JAADID01;s__	ERS7418301	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296441/genomes1/MGYG000296441.gff.gz
MGYG000296442	MAG	1646681	125	18308	44.36	53.45	0.0	0.00	0.00	0.00	13	CAJWAS01	MGYG000296442	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002171765	ERS7419203	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296442/genomes1/MGYG000296442.gff.gz
MGYG000296443	MAG	6731176	110	108058	42.81	99.63	1.02	93.28	53.16	15.66	20	CAJXYX01	MGYG000296443	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__42-54-T18;s__42-54-T18 sp002163245	ERS7418534	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296443/genomes1/MGYG000296443.gff.gz
MGYG000296444	MAG	1747379	424	4458	56.35	65.43	0.81	0.00	0.00	0.00	14	CAJYAF01	MGYG000296444	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752;s__	ERS7419504	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296444/genomes1/MGYG000296444.gff.gz
MGYG000296445	MAG	1227350	89	25156	31.29	59.71	1.88	94.96	21.66	10.94	15	CAJWTC01	MGYG000296445	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Marinoscillaceae;g__MED-G16;s__	ERS7418852	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296445/genomes1/MGYG000296445.gff.gz
MGYG000296446	MAG	5649594	355	23513	60.75	94.18	1.11	0.00	0.00	0.00	12	CAJWLV01	MGYG000296446	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__UBA8437;s__UBA8437 sp002724415	ERS7418787	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296446/genomes1/MGYG000296446.gff.gz
MGYG000296447	MAG	2129700	193	19942	45.97	89.25	1.48	95.80	52.38	0.00	12	CAJXQQ01	MGYG000296447	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__	ERS7418656	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296447/genomes1/MGYG000296447.gff.gz
MGYG000296448	MAG	1309195	42	59162	35.87	89.74	0.87	94.12	0.00	7.38	20	CAJWEW01	MGYG000296448	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__TMED25;g__TMED25;s__	ERS7419136	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296448/genomes1/MGYG000296448.gff.gz
MGYG000296449	MAG	2285363	210	15137	44.36	67.59	0.0	0.00	0.00	0.00	12	CAJXEN01	MGYG000296449	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__ASP10-02a;s__	ERS7419264	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296449/genomes1/MGYG000296449.gff.gz
MGYG000296450	MAG	2051655	225	13500	36.82	69.08	0.0	94.12	52.45	0.00	16	CAJWUM01	MGYG000296450	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__GCA-002718655;s__GCA-002718655 sp002167345	ERS7419104	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296450/genomes1/MGYG000296450.gff.gz
MGYG000296451	MAG	10652985	913	16925	66.27	91.45	2.78	94.96	57.53	11.66	20	CAJXVA01	MGYG000296451	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__;s__	ERS7418283	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296451/genomes1/MGYG000296451.gff.gz
MGYG000296452	MAG	5719961	186	54007	42.08	97.93	3.84	0.00	61.51	0.00	18	CAJXRF01	MGYG000296452	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Bermanella;s__	ERS7418191	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296452/genomes1/MGYG000296452.gff.gz
MGYG000296453	MAG	3935152	464	11790	60.11	89.53	3.41	0.00	0.00	0.00	17	CAJWMA01	MGYG000296453	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA8108;f__UBA8108;g__UBA8108;s__	ERS7418459	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296453/genomes1/MGYG000296453.gff.gz
MGYG000296454	MAG	2510647	471	5758	52.16	65.62	2.41	0.00	0.00	0.00	11	CAJYBS01	MGYG000296454	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__	ERS7419221	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296454/genomes1/MGYG000296454.gff.gz
MGYG000296455	MAG	2541555	104	42178	63.17	78.79	0.0	0.00	0.00	0.00	13	CAJWTD01	MGYG000296455	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__GCA-2727315;s__GCA-2727315 sp002727315	ERS7418167	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296455/genomes1/MGYG000296455.gff.gz
MGYG000296456	MAG	3874155	123	60501	62.13	93.88	1.16	0.00	0.00	0.00	20	CAJXJS01	MGYG000296456	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__	ERS7419246	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296456/genomes1/MGYG000296456.gff.gz
MGYG000296457	MAG	1385442	117	15008	42.16	91.91	1.67	0.00	0.00	0.00	13	CAJYBJ01	MGYG000296457	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp002469845	ERS7418894	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296457/genomes1/MGYG000296457.gff.gz
MGYG000296458	MAG	1449087	64	46501	36.36	94.51	1.2	0.00	21.20	0.00	18	CAJVZF01	MGYG000296458	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__TMED108;s__TMED108 sp002702225	ERS7418990	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296458/genomes1/MGYG000296458.gff.gz
MGYG000296459	MAG	1759248	348	5458	36.7	73.62	2.97	0.00	0.00	0.00	10	CAJWCX01	MGYG000296459	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__	ERS7419297	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296459/genomes1/MGYG000296459.gff.gz
MGYG000296460	MAG	1028479	88	15331	44.81	71.76	1.85	0.00	0.00	27.79	20	CAJWFC01	MGYG000296460	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__Peribacteraceae;g__UBA2170;s__UBA2170 sp002436205	ERS7419424	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296460/genomes1/MGYG000296460.gff.gz
MGYG000296461	MAG	575359	9	134946	47.77	68.12	0.0	0.00	12.52	0.00	20	CAJWVD01	MGYG000296461	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__UBA2100;s__UBA2100 sp002331495	ERS7418885	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296461/genomes1/MGYG000296461.gff.gz
MGYG000296462	MAG	2114577	281	8748	54.31	87.23	3.4	0.00	61.77	0.00	19	CAJWSZ01	MGYG000296462	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__UBA2589;s__UBA2589 sp002348265	ERS7418908	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296462/genomes1/MGYG000296462.gff.gz
